Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
78,Pomona,Los Angeles Basin,4/1/18,100,91,0, ,0, ,0, ,1.5, ,12.9, ,99, ,12.8, ,1.5, ,231, ,17, 
78,Pomona,Los Angeles Basin,4/1/18,200,91,0, ,0, ,0, ,1.5, ,12.7, ,100, ,12.7, ,1.1, ,239, ,16.9, 
78,Pomona,Los Angeles Basin,4/1/18,300,91,0, ,0, ,0, ,1.4, ,12.2, ,100, ,12.2, ,0.5, ,278, ,16.8, 
78,Pomona,Los Angeles Basin,4/1/18,400,91,0, ,0, ,0, ,1.4, ,12.2, ,100, ,12.2, ,0.8, ,233, ,16.8, 
78,Pomona,Los Angeles Basin,4/1/18,500,91,0, ,0, ,0, ,1.4, ,12.1, ,100, ,12.1, ,0.8, ,241, ,16.7, 
78,Pomona,Los Angeles Basin,4/1/18,600,91,0, ,0, ,4, ,1.4, ,11.8, ,100, ,11.8, ,0.9, ,224, ,16.6, 
78,Pomona,Los Angeles Basin,4/1/18,700,91,0.03, ,0, ,94, ,1.4, ,12.4, ,100, ,12.4, ,1.2, ,227, ,16.6, 
78,Pomona,Los Angeles Basin,4/1/18,800,91,0.11, ,0, ,255, ,1.5, ,13.5, ,100, ,13.5, ,1.6, ,234, ,16.5, 
78,Pomona,Los Angeles Basin,4/1/18,900,91,0.15, ,0, ,309, ,1.6, ,14.6, ,96, ,14, ,1.8, ,230, ,16.4, 
78,Pomona,Los Angeles Basin,4/1/18,1000,91,0.31, ,0, ,529, ,1.6, ,16.6, ,84, ,13.8, ,1.8, ,208, ,16.4, 
78,Pomona,Los Angeles Basin,4/1/18,1100,91,0.43, ,0, ,662, ,1.6, ,18.8, ,72, ,13.6, ,1.9, ,264, ,16.4, 
78,Pomona,Los Angeles Basin,4/1/18,1200,91,0.44, ,0, ,647, ,1.5, ,19.6, ,66, ,13, ,2.4, ,247, ,16.4, 
78,Pomona,Los Angeles Basin,4/1/18,1300,91,0.42, ,0, ,608, ,1.4, ,20.2, ,59, ,12, ,2.4, ,228, ,16.5, 
78,Pomona,Los Angeles Basin,4/1/18,1400,91,0.39, ,0, ,549, ,1.2, ,20.8, ,51, ,10.2, ,2.5, ,239, ,16.6, 
78,Pomona,Los Angeles Basin,4/1/18,1500,91,0.37, ,0, ,503, ,1.3, ,21.2, ,52, ,10.9, ,2.7, ,238, ,16.7, 
78,Pomona,Los Angeles Basin,4/1/18,1600,91,0.2, ,0, ,267, ,1.3, ,20.1, ,55, ,10.7, ,3.1, ,239, ,16.8, 
78,Pomona,Los Angeles Basin,4/1/18,1700,91,0.13, ,0, ,169, ,1.3, ,18.4, ,64, ,11.4, ,2.8, ,232, ,16.9, 
78,Pomona,Los Angeles Basin,4/1/18,1800,91,0.05, ,0, ,71, ,1.4, ,16.5, ,73, ,11.7, ,2.5, ,237, ,17, 
78,Pomona,Los Angeles Basin,4/1/18,1900,91,0, ,0, ,2, ,1.4, ,14.7, ,86, ,12.3, ,2.2, ,238, ,17.1, 
78,Pomona,Los Angeles Basin,4/1/18,2000,91,0, ,0, ,0, ,1.5, ,13.5, ,95, ,12.7, ,1.4, ,237, ,17.2, 
78,Pomona,Los Angeles Basin,4/1/18,2100,91,0, ,0, ,0, ,1.5, ,12.6, ,99, ,12.5, ,1.4, ,230, ,17.2, 
78,Pomona,Los Angeles Basin,4/1/18,2200,91,0, ,0, ,0, ,1.4, ,12.1, ,100, ,12.1, ,1.4, ,235, ,17.2, 
78,Pomona,Los Angeles Basin,4/1/18,2300,91,0, ,0, ,0, ,1.4, ,12.2, ,100, ,12.2, ,1.6, ,254, ,17.1, 
78,Pomona,Los Angeles Basin,4/1/18,2400,91,0, ,0, ,0, ,1.5, ,12.6, ,100, ,12.6, ,1.6, ,246, ,17, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,,,,,,,,,,,,,,,,
