Stn Id,Stn Name,CIMIS Region,Date,Hour,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Net Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Soil Temp (C),qc
78,Pomona,Los Angeles Basin,4/6/18,100,96,0, ,0, ,0, ,-22, ,1.3, ,12.9, ,88, ,11, ,0.8, ,17.6, 
78,Pomona,Los Angeles Basin,4/6/18,200,96,0, ,0, ,0, ,-22, ,1.4, ,12.2, ,96, ,11.5, ,0.5, ,17.5, 
78,Pomona,Los Angeles Basin,4/6/18,300,96,0, ,0, ,0, ,-22, ,1.3, ,11.2, ,100, ,11.1, ,0.5, ,17.4, 
78,Pomona,Los Angeles Basin,4/6/18,400,96,0, ,0, ,0, ,-22, ,1.3, ,10.9, ,99, ,10.7, ,0.8, ,17.4, 
78,Pomona,Los Angeles Basin,4/6/18,500,96,0, ,0, ,0, ,-22, ,1.3, ,11, ,95, ,10.3, ,1, ,17.3, 
78,Pomona,Los Angeles Basin,4/6/18,600,96,0, ,0, ,6, ,-18, ,1.2, ,10.7, ,96, ,10.2, ,0.8, ,17.2, 
78,Pomona,Los Angeles Basin,4/6/18,700,96,0.04, ,0, ,87, ,44, ,1.4, ,11.7, ,98, ,11.4, ,0.7, ,17.1, 
78,Pomona,Los Angeles Basin,4/6/18,800,96,0.14, ,0, ,279, ,146, ,1.4, ,14, ,89, ,12.1, ,1.1, ,17, 
78,Pomona,Los Angeles Basin,4/6/18,900,96,0.27, ,0, ,476, ,273, ,1.4, ,16.1, ,77, ,12, ,1.1, ,16.9, 
78,Pomona,Los Angeles Basin,4/6/18,1000,96,0.39, ,0, ,629, ,379, ,1.4, ,17.5, ,70, ,11.9, ,1.7, ,16.9, 
78,Pomona,Los Angeles Basin,4/6/18,1100,96,0.48, ,0, ,715, ,442, ,1.4, ,18.8, ,67, ,12.5, ,2.4, ,16.9, 
78,Pomona,Los Angeles Basin,4/6/18,1200,96,0.58, ,0, ,825, ,518, ,1.5, ,20.2, ,62, ,12.6, ,2.8, ,16.9, 
78,Pomona,Los Angeles Basin,4/6/18,1300,96,0.58, ,0, ,794, ,497, ,1.4, ,21.4, ,57, ,12.5, ,2.9, ,17, 
78,Pomona,Los Angeles Basin,4/6/18,1400,96,0.56, ,0, ,750, ,463, ,1.5, ,22.2, ,55, ,12.8, ,3.4, ,17, 
78,Pomona,Los Angeles Basin,4/6/18,1500,96,0.44, ,0, ,582, ,347, ,1.5, ,21.7, ,58, ,13.1, ,3.6, ,17.1, 
78,Pomona,Los Angeles Basin,4/6/18,1600,96,0.3, ,0, ,381, ,211, ,1.5, ,21.6, ,56, ,12.5, ,3.4, ,17.3, 
78,Pomona,Los Angeles Basin,4/6/18,1700,96,0.16, ,0, ,183, ,87, ,1.4, ,20, ,60, ,12, ,3.5, ,17.4, 
78,Pomona,Los Angeles Basin,4/6/18,1800,96,0.08, ,0, ,78, ,26, ,1.4, ,18.8, ,62, ,11.4, ,3, ,17.5, 
78,Pomona,Los Angeles Basin,4/6/18,1900,96,0.02, ,0, ,2, ,-23, ,1.4, ,17.3, ,71, ,11.9, ,1.9, ,17.6, 
78,Pomona,Los Angeles Basin,4/6/18,2000,96,0, ,0, ,0, ,-24, ,1.5, ,16.3, ,80, ,12.8, ,1.7, ,17.7, 
78,Pomona,Los Angeles Basin,4/6/18,2100,96,0, ,0, ,0, ,-24, ,1.5, ,15.4, ,84, ,12.7, ,2.1, ,17.7, 
78,Pomona,Los Angeles Basin,4/6/18,2200,96,0, ,0, ,0, ,-24, ,1.4, ,14.8, ,85, ,12.4, ,1.5, ,17.7, 
78,Pomona,Los Angeles Basin,4/6/18,2300,96,0, ,0, ,0, ,-24, ,1.5, ,14.4, ,90, ,12.8, ,0.7, ,17.7, 
78,Pomona,Los Angeles Basin,4/6/18,2400,96,0, ,0, ,0, ,-24, ,1.5, ,13.8, ,95, ,12.9, ,0.6, ,17.7, 
